location_id,incident_type,count,av_duration_hours
0298fdb8dbe69b40983264904b96195a,cash_drawer,0,
0298fdb8dbe69b40983264904b96195a,coffee,0,
0298fdb8dbe69b40983264904b96195a,frozen_drink,0,
0298fdb8dbe69b40983264904b96195a,pin_pad,1,1.7
0298fdb8dbe69b40983264904b96195a,register,1,1.55
0298fdb8dbe69b40983264904b96195a,soda_fountain,0,
02d9f1b0db2a9b40983264904b961946,cash_drawer,0,
02d9f1b0db2a9b40983264904b961946,coffee,0,
02d9f1b0db2a9b40983264904b961946,frozen_drink,3,4.453333333333333
02d9f1b0db2a9b40983264904b961946,pin_pad,2,2.7399999999999998
02d9f1b0db2a9b40983264904b961946,register,1,58.33
02d9f1b0db2a9b40983264904b961946,soda_fountain,0,
02df317edb961740983264904b96192f,cash_drawer,0,
02df317edb961740983264904b96192f,coffee,2,
02df317edb961740983264904b96192f,frozen_drink,3,2.62
02df317edb961740983264904b96192f,pin_pad,0,
02df317edb961740983264904b96192f,register,0,
02df317edb961740983264904b96192f,soda_fountain,1,0.69
02e1cab6dbd61740983264904b961920,cash_drawer,0,
02e1cab6dbd61740983264904b961920,coffee,0,
02e1cab6dbd61740983264904b961920,frozen_drink,1,7.64
02e1cab6dbd61740983264904b961920,pin_pad,0,
02e1cab6dbd61740983264904b961920,register,0,
02e1cab6dbd61740983264904b961920,soda_fountain,2,1.97
02f2ac281bdd449026c48663cc4bcb71,cash_drawer,0,
02f2ac281bdd449026c48663cc4bcb71,coffee,1,3.63
02f2ac281bdd449026c48663cc4bcb71,frozen_drink,0,
02f2ac281bdd449026c48663cc4bcb71,pin_pad,2,
02f2ac281bdd449026c48663cc4bcb71,register,0,
02f2ac281bdd449026c48663cc4bcb71,soda_fountain,0,
03124af6dbd61740983264904b961909,cash_drawer,0,
03124af6dbd61740983264904b961909,coffee,0,
03124af6dbd61740983264904b961909,frozen_drink,2,5.74
03124af6dbd61740983264904b961909,pin_pad,0,
03124af6dbd61740983264904b961909,register,0,
03124af6dbd61740983264904b961909,soda_fountain,1,9.42
0327f930dbe69b40983264904b96196b,cash_drawer,1,0.52
0327f930dbe69b40983264904b96196b,coffee,0,
0327f930dbe69b40983264904b96196b,frozen_drink,1,48.19
0327f930dbe69b40983264904b96196b,pin_pad,0,
0327f930dbe69b40983264904b96196b,register,1,
0327f930dbe69b40983264904b96196b,soda_fountain,0,
032e3936db961740983264904b961903,cash_drawer,0,
032e3936db961740983264904b961903,coffee,0,
032e3936db961740983264904b961903,frozen_drink,1,
032e3936db961740983264904b961903,pin_pad,0,
032e3936db961740983264904b961903,register,0,
032e3936db961740983264904b961903,soda_fountain,0,
